NAME,LONGDD,LATDD
AINABGOI,35.1,-0.68
AINABKOIFEEDERROAD,35.48,0.2
AINABKOISUBLOCATION,35.18,-0.47
AINABKOIVIADUCT,35.53,0.1
AINABSIRET,35.02,-0.45
AINAMOI,35.28,-0.3
AINAMOISUBLOCATION,35.3,-0.3
AINAPLAKWET,35.27,-0.68
AINO,35.63,0.03
AINOBNGETUNYEK,35.52,-0.65
AINOBNGETUNYEK,35.38,-0.73
AINOMOTUA,35.07,-0.07
AINOPNO,35.92,0.4
AINOPSIWA,35.18,-0.03
AINTREEESTATE,36.88,-1.2
AINUMUTUNGWE,35.52,-0.65
AIRAGWANI,36.97,-0.12
AIRIRUA,36.98,2.15
AISAIK,35.35,-0.72
AISERE,34.7,0.23
AITONG,35.25,-1.18
AITONG DOINYO,35.27,-1.2
AIYAM,36.55,0.37
AIYAM,36.58,0.32
AIYANGIYANG,35.72,3.08
AJAIAROCK,38.68,-3.78
AJAO,39.72,2.93
AJAO,39.7,2.95
AJAMARKU,37.9,2.27
AJIGO,34.35,-0.1
AJIGOSUBLOCATION,34.3,-0.08
AJIJIKNAIBORR,37.62,-2.88
AJILAJISO,39.72,-2.12
AKAAITEPUTH,36.62,1.87
AKACHIOLOCATION,38.62,0.12
AKADERTE,35.43,2.38
AKAIGASUBLOCATION,37.85,0.05
AKALA,34.43,-0.07
AKALA,34.25,-0.97
AKALAR,39.08,0.53
AKALAR,40.82,1.7
AKALODAK,36.65,1.63
AKANGORAMIRIEK,36.57,1.63
AKARA,34.2,0.05
AKATA,34.42,4.52
AKATUMAN,34.97,2.48
AKATWAN,35.22,2.87
AKECH,34.48,-0.53
AKELAFOREST,40.62,-2.27
AKELOSVILLAGE,34.58,-0.63
AKEOP,35.15,2.57
AKERIEMET,35.42,1.53
AKERECAMP,35.2,1.8
AKHALAR,40.2,0.92
AKHURYA,36.15,2.25
AKHURYO,35.87,2.22
AKIJO,34.45,-0.73
AKIRANGONDUSUBLOCATION,37.9,0.03
AKILARANCH,36.37,-1.03
AKIRIAMET,35.7,1.03
AKIRIAMETH,35.13,2.08
AKIRIAMETH,35.2,2.27
AKIRIAMETSUBLOCATION,35.77,1.37
AKIRIANGONDUSUBLOCATION,37.88,0.35
AKIRIM EMURUA,36.73,2.05
AKITE,34.2,0.57
AKITE,34.22,0.53
AKITHEOSUBLOCATION,37.8,0.15
AKITHIILOCATION,37.8,0.02
AKITHIISUBLOCATION,37.77,0.2
AKITHKAAMOTHING,35.02,4.32
AKITIANGEDRIMAMOLFORESTERSPOINT,35.02,3.13
AKOCHO,35.05,2.13
AKOKO,34.57,-1.13
AKOKO,34.58,-1.02
AKOKO,34.2,-0.15
AKOM,34.15,-0.77
AKOPAL,35.55,4.35
AKORES,35.18,2.27
AKORET,36.02,1.4
AKORET,34.22,0.6
AKORET,36.07,1.4
AKORETSUBLOCATION,36.02,1.38
AKORINGELECH,35.02,2.13
AKOROYANSUBLOCATION,35.98,0.63
AKERON,35.3,1.82
AKORUKORU,35.03,2.3
AKOTHIMA,37.97,0.03
AKUMAIT,35.03,2.47
AKWANGA,35.02,2.3
ALALBANDEDACH,39.47,2.7
ALALE,35.02,2.23
ALALE,40.27,3.55
ALALE,35.1,2.2
ALAMONGES,35.03,1.88
ALANGAARBA,40.42,0.12
ALANGAARBA,39.93,-0.15
ALANGO NAMBALA,38.45,0.4
ALANGODER,39.95,1.07
ALANGODIKO,38.43,0.38
ALANGOGURRU,39.93,-0.15
ALANGOSHIRA,39.8,-2.82
ALARA,34.47,-0.4
ALARA,34.52,-0.77
ALAROSH,35.73,-1.6
ALASHO OLDOINYO,35.97,-1.65
ALATI,39.92,3.35
ALBURKAINA,35.18,1.88
ALDAI,34.07,0.08
ALEGOCENTRALLOCATION,34.25,0.07
ALEGOEASTLOCATION,34.28,0.07
ALEGOKERO,40.22,0.73
ALEGOWESTLOCATION,34.02,0.1
ALENDO,34.2,-0.82
ALENDU,34.82,-0.02
ALETETESUBLOCATION,39.97,-3.02
ALGE,39.68,2.53
ALGI,38.9,-0.92
ALGI KUBI,36.43,3.77
ALIA,38.28,-3.58
ALIAGAN,40.73,-1.03
ALIALIN,40.27,2.78
ALIBUR,38.08,0.35
ALICE LAKE,37.47,-0.07
ALIGAB,40.8,0.3
ALIGOLLO,39.92,2.58
ALIGOLLO,39.98,2.58
ALINJUGUL,40.48,-0.05
ALISAKAR,38.85,0.48
ALJIJU,37.27,0.28
ALKAKORPASS,34.95,3.2
ALLENSWATERFALL,37.97,-0.15
ALLIABAY,36.25,3.75
ALLUS,37.05,0.05
ALONGOLOMOI,35.7,4.18
ALOWALAN,36.63,2.22
ALPHEGA,35.95,0.05
ALTHEGA,35.95,0.07
ALUARAN,35.98,2.25
ALUNGOSUBLOCATION,34.48,-0.02
ALUPE,34.12,0.05
ALUOR,34.47,-0.02
AMAIRO,34.23,0.6
AMAIRO,34.2,0.62
AMAK,38.63,-3.75
AMAKURA,34.27,0.57
AMAKURIAT,35.27,2.28
AMALA,35.23,-1.03
AMALABRIDGE,35.43,-0.9
AMALER,35.77,1.63
AMASAGO,34.85,-0.73
AMASEGE,34.93,-0.78
AMBERLEYESTATE,36.87,-1.02
AMBIRA,34.27,0.17
AMBIRASUBLOCATION,34.27,0.02
AMBONI,36.98,-0.4
AMBOSELI,37.28,-2.07
AMBOSELIGAMERESERVE,37.28,-2.05
AMBUSKET,35.65,-0.62
AMERITHINYIN,35.58,3.4
AMETHO,37.87,0.15
AMKENIESTATE,39.8,-3.87
AMOHIRA,34.72,0.02
AMOJO,35.45,2.2
AMONGURA,34.13,0.55
AMONGURA,34.15,0.55
AMOSO,34.42,-0.92
AMOYA,34.35,-0.08
AMTEREN,36.02,0.25
AMUATHIbSUBLOCATION,38.02,0.45
AMUATHIcSUBLOCATION,38.08,0.43
AMUGAA,37.88,0.02
AMUKURASUBLOCATION,34.27,0.6
AMUNGAMBO,34.3,0.32
AMUGENTI,37.97,0.18
AMUNGENTISUBLOCATION,37.97,0.18
AMUNYAI,35.2,1.85
AMUNYAI,35.23,1.85
AMURWA,35.03,1.73
AMUTON,35.12,2.53
AMWAATHISUBLOCATION,37.98,0.45
AMWAMBA,37.93,0.18
AMWATHISUBLOCATION,37.92,0.22
ANADANGURU,37.3,0.37
ANADANGURUPLAIN,37.28,0.37
ANAGASILE,39.63,3.23
ANAK EMURUA,35.58,2.75
ANALANGATA,35.07,-1.25
ANALIWA,35.48,-1.72
ANAM,34.68,4.3
ANAMUTON,35.13,2.45
ANAMUTON,35.13,2.43
ANAMUTON,35.15,2.48
ANANOI,35.65,0.4
ANANOT,40.3,-1.42
ANANOTU,40.03,-1.4
ANASA,40.3,-2.52
ANCHENGE,37.93,0.2
ANDERI,36.92,2.25
ANDINGO,34.85,-0.37
ANDINGO,34.52,-0.03
ANDIWOSVILLAGE,34.7,-0.52
ANDOKHORA,39.53,2.62
ANDREWSVOLCANO,36.58,2.3
ANDU,39.05,2.53
ANDUNGOSI,34.15,0.52
ANDZARANI,39.45,-4.03
ANEKO,34.13,-0.93
ANEKO,34.15,-0.95
ANELBER SOIT,38.15,0.93
ANGAGA,34.62,-0.98
ANGAMOJAK,35.42,3.75
ANGARRANI,35.13,-1.47
ANGATABARAGOI,35.08,-1.25
ANGATABARAGOI,34.78,-1.38
ANGATAEINGATA,37.68,-2.53
ANGATALOITA,34.78,-1.38
ANGARANAADO,35.98,-1.25
ANGATAOLDUROROI,35.1,-1.38
ANGATAWERGOI,36.73,0.72
ANGDIRIN MORU,35.8,4.05
ANGELI,37.82,0.23
ANGENO,34.82,-0.45
ANGIBUN MORU,34.93,3.75
ANGICHOM MORU,34.23,3.87
ANGICHOMIN MORU,35.7,3.87
ANGIRO,34.53,-0.05
ANGLOGITAT,35.42,1.95
ANGMATIA,35.1,4.57
ANGOGASUBLOCATION,34.48,-0.13
ANGOLOL,35.12,2.18
ANGORANGORA,35.4,2.63
ANGORANGORA,35.35,2.63
ANGOROM,34.13,0.05
ANGOROM,34.13,0.48
ANGOROMO,34.13,0.48
ANGUGO,34.18,-0.9
ANGURIASUBLOCATION,34.32,0.7
ANGUSFOLLY,36.6,-0.25
ANIKIA,39.3,-2.87
ANIN,35.52,0.68
ANISA,40.02,1.65
ANJEGO,34.32,-0.97
ANKAMIA,37.87,0.13
ANKAMIASUBLOCATION,37.87,0.13
ANMERESTATE,36.08,-1.13
ANO GOF,38.02,2.45
ANOTINGO,34.52,-0.35
ANTUAMBUISUBLOCATION,37.08,0.07
ANTUAMBURISUBLOCATION,37.92,0.37
ANTUBAIGA,37.77,0.13
ANTUBETWE,37.95,0.27
ANTUBETWEKIONGOSUBLOCATION,37.98,0.27
ANTUBETWENJOONESUBLOCATION,37.97,0.23
ANTUBUCHIOSUBLOCATION,37.95,0.22
ANYAGALIM,35.2,2.62
ANYIEKA,34.27,0.23
ANYIKA,34.25,0.22
ANYIKO,34.53,0.12
ANYIKOSUBLOCATION,34.52,0.12
ANYIKOSUBLOCATION,34.25,0.22
ANYUONGI,34.28,-0.18
ANZWANI,39.37,-4.63
ANZWANI RAS,39.4,-4.62
AOCHDOK,34.38,-0.57
AOCHMUGA,34.58,-0.63
AORACHAK,34.63,-0.05
AORACHUODHO,34.23,-0.78
AORAMODHO,34.48,-0.05
AORANAM,34.6,-0.7
APACH,36.52,1.85
APAIGIRON,34.68,3.1
APAMA,34.15,0.57
APARAKASWA,35.2,2.07
APATIT,34.23,0.58
APEGEI,34.2,0.55
APEGEI,34.18,0.53
APIRRA,34.45,3.98
APOKOR,34.27,0.53
APOKORSUBLOCATION,34.23,0.52
APONDOKOJWACH,34.8,-0.52
APOW,34.6,3.78
APUKE,35.22,2.28
APUKU,34.8,-0.37
ARABTIRS,36.87,4.27
ARABUKO,39.97,-3.25
ARABUKOSOKOKEFOREST,39.87,-3.03
ARADI,40.57,2.92
ARAGE,37.02,2.1
ARAMA,35.63,0.03
ARAMBE,34.57,-1.03
ARAMBE,34.57,-0.93
ARANO,37.77,3.02
ARARAISWAMP,35.98,0.07
ARARANGA,35.6,-0.78
ARAU,35.45,1.58
ARBAJAHAN,38.95,2.1
ARBASOKA KUBI,39.02,3.47
ARBO,40.03,1.63
ARBODI,40.27,1.12
ARBOLA,38.65,1.47
ARBORETUM,36.8,-1.27
ARBOTEI,39.25,3.18
ARCADIEESTATE,36.88,-1.02
ARCHERSPOST,37.68,0.65
ARDABADANA,38.23,0.73
ARDAHALO,40.18,3.9
ARDENCAPLEFARM,37.27,0.08
ADI WAR,40.47,1.72
ARE,38.65,-3.8
ARENGAN NGIMORU,35.48,3.2
ARGANI,40.37,1.07
ARGE,36.98,2.15
ARGUTPASS,35.22,1.07
ARIA LAGA,38.77,3.45
ARIONOMUR,35.38,2.42
ARITI,40.3,-2.52
ARIYA,38.73,3.52
ARIYAU,35.2,1.68
ARIYAU,35.23,1.08
ARIYO GODE,34.35,-0.52
ARLILO LAGA,38.25,2.58
ARMASARIDGE,39.02,0.92
ARNESENFARM,35.43,0.22
AROBOBUCH,35.42,0.82
AROGA,35.07,1.78
ARORR,35.63,1.62
AROR,35.63,0.95
ARORR,35.53,1.62
AROSEN,40.72,-1.95
AROSEN,40.75,-1.92
AROSS OLKEJU,36.27,-1.72
ARRIO,35.25,1.85
ARROI,37.3,-2.03
AROKIET,35.07,-0.62
ARSAABULA,39.07,3.28
ARSIM,37.2,1.8
ARTHURSSEAT,37.3,-0.15
ARO KUBI,38.23,0.58
ARUBA,38.88,-3.27
ARUBA,36.47,1.08
ARUBA,36.43,1.92
ARUBADAM,38.82,-3.35
ARUBALODGE,38.82,-3.35
ARUBAROCK,36.45,1.92
ARUS,35.97,0.02
ARUSI,37.35,3.87
ARWOS,35.2,0.2
ARWOS,35.23,0.2
ARWOS,35.18,0.2
ASA,40.07,-2.25
ASA,39.43,-2.08
ASANGOSUBLOCATION,34.03,0.23
ASAR OLKEJU,35.63,-1.63
ASARIT EMURUA,36.58,1.6
ASASUM,35.58,1.88
ASAWO,35.58,-0.03
ASAWO,34.93,-0.3
ASAYISUBLOCATION,34.38,0.1
ASEBA OLDOINYO,37.63,-2.03
ASEGO,34.47,-0.53
ASEMBO,34.38,-0.18
ASEMBOLOCATION,34.37,-0.13
ASHARBIT,40.87,3.53
ASIE,37.1,2.97
ASILAN,35.02,2.25
ASILLE,36.53,4.3
ASINA,34.32,-0.52
ASINGE,34.17,0.55
ASINGE,34.18,0.57
ASPEN,37.02,-2.47
ASSURR,35.13,-1.08
ASTRAFARM,37.1,-1.7
ASUMBI,34.62,-0.62
ASURE,35.87,-1.98
ASURURIET,35.3,0.27
ATAGIRION,36.72,1.85
ATAJA,34.95,1.3
ATEAD,35.18,1.85
ATEBWOSUBLOCATION,35.47,-0.85
ACHEKAPENYA,35.07,2.92
ATELA,35.07,-0.42
ATELAITI,34.22,0.53
ATELAITI,34.2,0.53
ATETA,34.97,2.15
ATHANJASUBLOCATION,37.8,0.2
ATHENOHILLS,35.07,3.07
ATHERU,37.97,0.3
ATHERURUUJINE,37.97,0.3
ATHERURUUJINESUBLOCATION,37.97,0.3
ATHI,38.05,-2.2
ATHI,38.07,-2.27
ATHI,38.52,-2.98
ATHIBASIN,36.9,-1.4
ATHINAI,35.98,-0.07
ATHINAIESTATE,35.98,-0.05
ATHINAISISALFACTORY,35.97,-0.03
ATHINGASUBLOCATION,37.8,0.18
ATHIPLAIN,36.88,-1.42
ATHIRIVER,36.98,-1.45
ATHIRIVERPRISON,36.95,-1.47
ATHIRIVERSISALESTATE,37.03,-1.43
ATHIRUGAITI,37.97,0.22
ATHITINI,37.08,0.25
ATHITIVASCHEME,37.9,-1.73
ATHWANASUBLOCATION,37.85,0.1
ATIARSUBLOCATION,35.07,0.87
ATIR,35.32,2.28
ATOT,34.97,2.2
ATTILILI,38.55,-2.05
AUANAPARAN,36.07,2.43
AUGICHA,37.8,2.58
AUGO,34.38,-0.08
AUKISUBLOCATION,37.92,0.2
AURARE,40.7,-2.15
AUSMADULI,40.53,2.27
AUWERIWERI,35.87,2.23
AVEBURYESTATE,35.55,-0.08
AWACH,34.95,-0.23
AWACHTENDE,34.62,-0.48
AWADALADU,39.7,-2.6
AWALABDULLA,41.35,3.93
AWANYAPARAN,35.02,2.42
AWARAPLAIN,41.12,3.75
AWARO LAGH,40.08,1.1
AWARSITU MELKA,38.9,1.18
AWASI,35.07,-0.02
AWASIMISSION,35.08,-0.02
AWAUNYATUN,35.02,1.95
AWENDO,34.53,-0.9
AWENDO,34.4,-0.05
AWEYON,41.63,3.73
AWINO,34.43,-0.55
AWOCHO,38.25,2.02
AWUNDOSVILLAGE,34.58,-0.63
AYANADE,39.07,3.1
AYANGYANGISWAMP,36.08,1.92
AYENAATURKAN,36.6,1.82
AYENAETUTHURU,36.07,1.57
AYENAETUTHURU,36.63,1.6
AYENAKWANGA,35.3,2.43
AYILEPUS,34.97,2.37
AYORA,34.73,-0.52
AYUGIS,34.58,-0.73
AYWAYA GOT,34.52,-0.38
AYWEYO,34.95,-0.2
BAATA,36.57,-1.92
BABOON,35.92,-0.72
BABOONESCARPMENT,36.88,-1.4
BABOSOBLE,40.3,4.05
BADAA,41.45,-1.73
BADAN LAGA,39.27,3.32
BADANDA,38.95,3.05
BADANDER,38.93,3.05
BADARERO,38.92,2.73
BADASA,38.92,2.27
BADATUM,35.87,2.42
BADESA,38.97,-3.98
BADGEWORTHESTATE,36.72,-1.12
BADODA LAGA,39.45,3.08
BADONGOSUBLOCATION,34.03,0.25
BADUSA,38.77,3.13
BAFUF,39.97,2.05
AROGBOKITCH,40.88,-0.8
BAGAGA,37.87,3.55
BAGAGE,40.2,3.38
BAGODADAM,39.25,-4.38
BAHAKWENU,39.08,-3.8
BAHATI,37.97,-2.63
BAHATI,37.05,-1.63
BAHATI,36.1,-0.15
BAHATI,36.85,-1.28
BAHATIESCARPMENT,36.18,-0.02
BAHATIFORESTRESERVE,36.2,-0.12
BAHATISETTLEMENT,36.12,-0.15
BAHOY EMURUA,35.92,2.65
BAHURI,39.82,0.13
BAINYNGI,37.97,0.4
BAIO,37.55,1.77
BAIRUNI,37.48,-0.18
BAIXIA,36.03,-0.68
BAJI,38.92,2.03
BAJUMALI,41.13,-2.07
BAKAJAOBE,40.97,-0.58
BAKAL,39.97,2.65
BAKARI,36.75,-1.8
BAKTELE,39.97,-0.4
BALA,34.82,-0.03
BALA,34.38,-0.72
BALA,34.27,-0.9
BALACHUROCKS,39.23,-3.03
BALAGELAK,37.02,0.27
BALAGELAK,37.02,0.3
BALAGELAK,37.02,0.32
BALAL LAGA,37.25,3.42
BALBALA,40.73,1.85
BALBALOLERA,36.6,-1.3
BALDHILL,36.77,-0.28
BALEK,35.2,-0.07
BALELEGA,38.93,-0.73
BALESA,37.03,3.03
BALESA,37.37,3.6
BALESA,37.93,2.23
BALGUDA,39.85,-1.47
BALGUDA,39.08,-1.47
BALLO,36.62,2.9
BALLYSTERBALLYVISTER,35.07,-0.52
BALOBLE,40.07,3.27
BALOBLE,40.02,3.25
BAMANZI,39.18,-3.87
BAMANZI,39.2,-3.87
BAMBA,39.4,-0.23
BAMBA,39.47,-3.52
BAMBA,39.3,-4.42
BAMBA,39.52,-3.53
BAMBA,38.6,0.48
BAMBAGURARI,39.55,3.3
BABOHILLS,41.07,3.05
BAMBAHOLA,40.9,2.95
BAMBALOCATION,39.25,-3.05
BAMBASUBLOCATION,39.43,-3.52
BAMBOOHILL,36.55,-0.28
BAMBOOHILL,36.73,-0.28
BAMBOTA,38.35,1.03
BAMUBAKARI ZIWALA,40.08,-2.18
BAN GOD,34.52,-0.52
BANAL,38.37,3.52
BANANARIDGE,37.85,0.45
BANDARI,40.82,-2.18
BANDARI,39.53,-3.47
BANDARASALAMA,39.7,-3.78
BANDARO,38.8,2.93
BANDATSAHASUBLOCATION,39.03,-4.47
BANDE,34.18,-1.03
BANDESTATE,36.75,-1.12
BANGA,39.53,-4.1
BANGA,39.23,-4.1
BANGAL,40.03,1.75
BANGASUBLOCATION,39.23,-4.1
BANI,36.23,4.38
BANISA,40.35,3.95
BANITASISALESTATE,36.08,-0.07
BANJA,34.08,0.03
BANJA,34.82,0.03
BANJASUBLOCATION,34.82,0.03
BANO,36.75,-1.12
BANYA,38.13,0.77
BANYA,36.25,4.45
BANIA,39.63,-3.92
BANYABAIN SUGUTA,36.55,0.62
BANYALI,41.8,3.88
BAOFUSUBLOCATION,34.03,0.03
BAOMO,40.13,-1.92
BAR,34.68,-0.03
BAR EL,39.45,3.2
BARACHUMA,37.98,2.53
BARACHUMA GOF,37.98,2.05
BARAFIN,39.45,0.63
BARAGET,35.73,-0.42
BARAGOI,34.77,-1.38
BARAGOI,36.78,1.78
BARAGOI,36.57,1.68
BARAGULU,34.3,0.02
BARAGUI,37.03,-0.05
BARAHOYO,39.77,-3.92
BARAHOYO,39.77,-3.93
BARAKA,35.03,-0.2
BARALATIYA,41.35,-1.72
BARALE,39.97,-0.08
BARAMBATE,38.15,1.38
BARANGI,34.73,-0.92
BARANE,39.08,-3.58
BARARANI,39.15,-3.78
BARATON,35.08,0.25
BARAWA,35.38,1.35
BARAZA,34.92,-0.52
BARBARISA,39.23,2.82
BARBERESS,37.37,0.48
BARCHOBARCHO,37.07,2.85
BARCHUMA MADO,38.18,1.4
BARCHUMABODICH,38.08,1.45
BARCHUMADIKA,38.25,1.58
BARCHUMA,38.2,1.4
BARCHUMAGUDA,38.22,1.38
BARCHUMAHAFARI,37.12,4.3
BARDAMAT,35.37,-1.28
BARDAMAT,35.03,-1.22
BARDARESUBLOCATION,34.53,0.22
BARDING,34.32,0
BARDINGSUBLOCATION,34.25,-0.03
BARENTA,37.98,0.4
BARENYIRO,36.92,1.72
BARGONI,40.77,-2.03
BARGONI,40.78,-2.05
BARGONI MKONDO,40.82,-2.02
BARICHO,39.78,-3.1
BARICHOLOCATION,39.75,-3.1
BARICHOSUBLOCATION,37.12,-0.48
BARICHO,37.12,-0.05
BARICHOSUBLOCATION,39.78,-3.1
BARIGITO,36.87,-0.93
BARINGO,35.97,0.47
BARING LAKE,36.08,0.63
BARINGODISTRICT,36.08,0.07
BARICHO,37.25,-0.55
BARICHO,37.23,-0.55
BARKALARE,34.52,0.03
BARKETIEUSUBLOCATION,35.88,0.8
BARKISUU,39.7,-2.92
BADOKITABU,35.57,-1.48
BARKORWA,34.52,-0.07
BARKOWET,34.32,0.12
BARKOWINO,34.27,-0.12
BARKOWINO,34.27,-0.13
BARKOWINOSUBLOCATION,34.23,-0.13
BARKURUNYO,38.18,1.53
BARKURUNYO,38.12,1.4
BARLIGH,39.47,-0.2
BARMASAT,36.05,0.07
BAROLENGO,34.2,0.07
BAROLENGO,34.2,0.02
BARONEMILEESTATE,35.25,0.32
BARRDENA,38.03,0.63
BARRIKON NDOINYO,36.9,-1.97
BARSALINGA,37.1,0.92
BARSALINGA,37.1,0.78
BARSALINGA,37.13,0.88
BARSALOI,36.87,1.03
BARSALOI,36.98,1.48
BARSEMOI,35.9,0.55
BARSUBLOCATION,34.3,0.03
BARTABWA,35.8,0.08
BARTAGUET,36.93,1.92
BARTIMARO,36.77,-2.3
BARTOLIMO,35.82,0.68
BARTOLIMOSUBLOCATION,35.85,0.68
BARTUK,36.62,1.02
BARUA,35.38,1.35
BARUASUBLOCATION,35.38,1.03
BARUKU,36.23,-0.27
BARWESA,35.68,0.72
BARWESA,35.73,0.72
BASE,38.7,-0.05
BASHWANI,40.8,-2.22
BATA,41.23,-1.37
BATABONASUBLOCATION,34.07,0.02
BATANA LAGA,37.92,0.72
BATANA LAGA,37.9,0.55
BATANI,39.6,-3.9
BATANISUBLOCATION,39.6,-3.9
BATEILOCATION,35.03,1.42
BATESUBLOCATION,39.97,-3.12
BATESUBLOCATION,39.93,-3.18
BATHI,36.63,-0.95
BATHI,36.77,-1.03
BATHISUBLOCATION,36.63,-0.97
BATIAN,37.3,-0.15
BAURE,40.97,-1.72
BAUWA,36.08,1.03
BAUWA,37.03,3.07
BAUWA,36.77,1.07
BAUWA,36.78,1.02
BAVIGITO,36.87,-0.93
BAZO,39.22,-4.07
BEACONHILL,36.52,-0.27
BEACONRANCH,36.93,-1.4
BECHOTRANGE,36.08,0.4
BEDZOMBOSUBLOCATION,39.77,-3.7
BEEMOI,35.78,0.05
BEGURO,39.62,-3.93
BEGUYUDAM,39.18,-3.98
BEI EL,40.1,1.7
BEKAYI,34.2,0.5
BEKIBON,35.88,0.03
BEKIBONSUBLOCATION,35.88,0.03
BELACHAT,36.88,0.07
BELASOCANAL,40.37,-2.52
BELEBELE,40.82,-2.02
BELEWA,39.63,-3.95
BELGUTNUMBERONELOCATION,35.02,-0.03
BELLEVUE,36.72,-0.23
BELLEVUEESTATE,36.85,-0.18
BELVEDEREESTATE,36.07,-1.25
BELVUEROAD,36.8,-0.02
BEMBIATSUBLOCATION,35.35,-0.95
BEN EL,40.2,2.32
BENANE,38.07,0.05
BENA,40.05,0.7
BENANEKOTKOT,40.53,0.6
BENANEWELLS,38.07,0.05
BENDDONGA,36.93,-1.42
BENDERA,34.85,-0.92
BENDERANISECTION,40.02,-2.12
BENDITAI,35.6,-0.08
BENDORPLANTATIONS,37.05,-0.97
BENDORROAD,37.07,-1.02
BENERA,34.85,-0.93
BENGONI,39.43,-3.63
BENHARDESTATE,36.77,-1.27
BENNETTSRIDGEROAD,36.93,-1.12
BENVARFARM,37.02,-1.08
BENYAGUNDO,39.57,-3.95
BERAM,39.48,2.9
BERBERBAHAR,40.22,1.52
BEREITOWASANIA,39.12,-3.52
BEREITOWASANIA,39.15,-2.98
BERGUDUD,40.87,1.38
