LONG,LAT,F_NAME,HMIS_,DIST,DIVISION,F_TYPE,AGENCY
36.87118,-1.049952,P.C.E.A GATHIRUINI DISP,,KIAMBU,GITHUNGURI,4,MISS
36.6667,-1.26667,P.C.E.A. KIKUYU HOSPITAL,2441,KIAMBU,KIKUYU,1,MISS
36.661129,-0.790616,RAGIA FOREST DISP,225,KIAMBU,LARI,4,MOH
36.6759,-0.791728,RAGIA HEALTH CENTRE,2449,KIAMBU,LARI,3,MOH
36.6,-1.18,THIGIO MISSION DISP,227,KIAMBU,LIMURU,4,MISS
36.6493,-1.12859,TIGONI SUB-DISTRICT HOSPITAL,257,KIAMBU,LIMURU,1,MOH
36.8083,-1.13366,TIN'GAN'GA DISP,229,KIAMBU,KIAMBAA,4,MISS
36.6778,-1.04691,UPLANDS DISP,230,KIAMBU,LARI,4,MOH
36.7086,-1.2526,UTHIRU DISP,231,KIAMBU,KIKUYU,4,MOH
36.7261,-1.21737,WANGIGE HEALTH CENTRE,249,KIAMBU,KIKUYU,3,MOH
37.2305,-0.563405,BARICHO HEALTH CENTRE,297,KIRINYAGA,NDIA,3,MOH
37.2387,-0.568805,BARICHO MISS H C,3082,KIRINYAGA,NDIA,3,MISS
37.351234,-0.42234,CASTLE FOREST DISP,3763,KIRINYAGA,GICHUGU,4,MOH
37.2597,-0.49407,CHRISTIAN COMMUNITY SERVICES BAS,,KIRINYAGA,CENTRAL,4,MISS
37.3783,-0.75776,CIAGINI DISP,86,KIRINYAGA,MWEA,4,MOH
37.400901,-0.551802,DIFATHAAS CATHOLIC DISP,4713,KIRINYAGA,MWEA,4,MISS
37.4125,-0.59514,DIFATHAS DISP,263,KIRINYAGA,MWEA,4,MOH
37.4056,-0.50091,GACHIONGO DISP,264,KIRINYAGA,GICHUGU,4,MOH
37.2483,-0.48343,GATHAMBI DISP,265,KIRINYAGA,CENTRAL,4,MOH
37.4391,-0.71293,GATHIGIRIRI DISP,266,KIRINYAGA,MWEA,4,MOH
,,GATITHI DISP,,KIRINYAGA,CENTRAL,4,MISS
37.316,-0.45683,GATUGURA DISP,267,KIRINYAGA,GICHUGU,4,MOH
37.3798,-0.45759,GATUMBI S D A DISP,268,KIRINYAGA,GICHUGU,4,MISS
37.284,-0.46443,GATWE DISP,269,KIRINYAGA,CENTRAL,4,MOH
37.38695,-0.497068,GIRIAMBU ACK DISP,,KIRINYAGA,GICHUGU,4,MISS
37.1792,-0.62098,GITHUANI C P K DISP,4716,KIRINYAGA,NDIA,4,MISS
37.3836,-0.47051,GITHURE DISP,4724,KIRINYAGA,GICHUGU,4,MISS
37.3988,-0.5237,JESMOND MBURI DISP,,KIRINYAGA,GICHUGU,4,MISS
37.3175,-0.51458,KABARE DISP,270,KIRINYAGA,GICHUGU,4,MOH
37.227,-0.63009,KAGIO CATHOLIC DISP,271,KIRINYAGA,NDIA,4,MISS
37.23641,-0.47139,KAGUMO DISP,272,KIRINYAGA,NDIA,4,MOH
,,KAGUMO LIFE GIVING DISP,,KIRINYAGA,NDIA,4,MISS
37.3099,-0.44391,KAMWETI DISP,274,KIRINYAGA,GICHUGU,4,MOH
37.3038,-0.66505,KANDONGO DISP,275,KIRINYAGA,MWEA,4,MOH
37.2719,-0.48951,KANGAITA DISP,276,KIRINYAGA,CENTRAL,4,MOH
37.221234,-0.582134,KANGARU HEALTH CENTRE,908,KIRINYAGA,NDIA,3,MOH
37.2726,-0.50243,KARAINI C P K DISP,4719,KIRINYAGA,CENTRAL,4,MISS
,,KARIRA HOSPITAL,391,KIRINYAGA,,1,MISS
37.3456,-0.45683,KARUMANDI DISP,277,KIRINYAGA,GICHUGU,4,MOH
37.27838,-0.49509,KERUGOYA CATHOLIC DISP,278,KIRINYAGA,CENTRAL,4,MISS
37.27819,-0.50107,KERUGOYA CPK DISP,279,KIRINYAGA,CENTRAL,4,MISS
37.2805,-0.50132,KERUGOYA DISTRICT HOSPITAL,301,KIRINYAGA,CENTRAL,1,MOH
37.4018,-0.47279,KIAMUTUGU HEALTH CENTRE,280,KIRINYAGA,GICHUGU,3,MOH
37.3,-0.48,KIANDAI ACK DISP,4721,KIRINYAGA,GICHUGU,4,MISS
37.2073,-0.48115,KIANGAI DISP,281,KIRINYAGA,NDIA,4,MOH
37.3129,-0.49635,KIANG'OMBE DISP,282,KIRINYAGA,GICHUGU,4,MOH
37.1624,-0.5883,KIANJEGE DISP,283,KIRINYAGA,NDIA,4,MOH
37.3296,-0.50091,KIANYAGA H C,299,KIRINYAGA,GICHUGU,3,MOH
37.3426,-0.51079,KIANYAGA MISS H C,3081,KIRINYAGA,GICHUGU,3,MISS
37.2035,-0.51231,KIARAGANA DISP,284,KIRINYAGA,NDIA,4,MOH
37.1495,-0.55638,KIBIRIGWI DISP,285,KIRINYAGA,NDIA,4,MOH
37.3651,-0.61705,KIMBIMBI HEALTH CENTRE,300,KIRINYAGA,MWEA,3,MOH
,,KIUMBU DISP,,KIRINYAGA,NDIA,4,MISS
37.474,-0.72129,KIUMBUINI DISP,286,KIRINYAGA,MWEA,4,MOH
37.32517,-0.56432,KUTUS CATHOLIC DISP,4714,KIRINYAGA,CENTRAL,4,MISS
,,MAGDALENE ACK DISP,,KIRINYAGA,GICHUGU,4,MISS
37.4,-0.48,MBIRI ACK DISP,4727,KIRINYAGA,GICHUGU,4,MISS
37.29279,-0.52252,MBURI ACK DISP,4729,KIRINYAGA,CENTRAL,4,MISS
,,MT KENYA EAST ACK DISP,,KIRINYAGA,GICHUGU,4,MISS
37.30495,-0.432433,MUGUMO (ACK) DISP,4720,KIRINYAGA,GICHUGU,4,MISS
37.4634,-0.67797,MUMBUINI DISP,3860,KIRINYAGA,MWEA,4,MOH
37.254,-0.621,MUNGANGA CPK DISP,289,KIRINYAGA,NDIA,4,MISS
37.44077,-0.57294,MURINDUKO DISP,3035,KIRINYAGA,MWEA,4,MOH
37.3038,-0.73269,MUTHITHI DISP,290,KIRINYAGA,MWEA,4,MOH
37.23,-0.48,MUTIRA ACK DISP,4718,KIRINYAGA,NDIA,4,MISS
,,MUTITHI DISP,,KIRINYAGA,MWEA,4,MOH
37.34924,-0.66137,MWEA MISS HOSPITAL,302,KIRINYAGA,MWEA,1,MISS
,,NGARIAMA DISP,,KIRINYAGA,MWEA,4,MOH
37.3828,-0.50167,NGIRIAMBU DISP,4728,KIRINYAGA,GICHUGU,4,MISS
37.316,-0.68633,NGUKA DISP,292,KIRINYAGA,MWEA,4,MOH
37.2924,-0.70913,NJEGAS DISP,293,KIRINYAGA,MWEA,4,MOH
37.2187,-0.67113,SAGANA H C,304,KIRINYAGA,NDIA,3,MOH
37.2308,-0.65213,SAGANA MISS DISP,294,KIRINYAGA,NDIA,4,MISS
37.3258,-0.51838,ST ANDREWS MBIRI DISP,3972,KIRINYAGA,GICHUGU,4,MISS
37.262,-0.72281,ST LUKE'S MUNGAGA DISP,,KIRINYAGA,MWEA,4,MISS
,,ST LUKES MURIGARIGA DISP,,KIRINYAGA,,4,MISS
,,ST TERESA DISP,,KIRINYAGA,MWEA,4,MOH
37.3327,-0.70457,THIBA DISP,295,KIRINYAGA,MWEA,4,MOH
37.3585,-0.43935,THUMAITA DISP,4723,KIRINYAGA,GICHUGU,4,MISS
36.852509,-0.739723,AIC MUNUNGA DISP,389,MARAGUA,KIGUMO,4,MISS
37.19762,-0.9064,DON BOSCO MAKUYU DISP,4162,MARAGUA,MAKUYU,4,MISS
36.977445,-0.852765,GAICHANJIRU MISSION HOSPITAL,388,MARAGUA,KANDARA,1,MISS
36.9013,-0.761775,GIKOE DISP,315,MARAGUA,KIGUMO,4,MOH
36.9,-0.82,GITHUMU HEALTH CENTRE,,MARAGUA,KANDARA,3,MISS
36.8668,-0.81464,GITURU DISP,320,MARAGUA,KANDARA,4,MISS
37.070665,-0.816915,ICHAGAKI HEALTH CENTRE,390,MARAGUA,MARAGUA,3,MISS
37.080265,-0.891818,KAGUMOINI DISP,,MARAGUA,KANDARA,4,MOH
36.96123,-0.881234,KAGUTHI DISP,2710,MARAGUA,KANDARA,4,MOH
37.07856,-0.85942,KAGWATHI SDA DISP,,MARAGUA,MARAGUA,4,MISS
37.17814,-0.84289,KAMAHUHA DISP,328,MARAGUA,MAKUYU,4,MOH
37.25123,-0.812354,KAMBITI DISP,3367,MARAGUA,MAKUYU,4,MOH
36.976049,-0.785806,KAMUNGANGA DISP,4844,MARAGUA,KIGUMO,4,MISS
37.038699,-0.897239,KANDARA HEALTH CENTRE,377,MARAGUA,KANDARA,3,MOH
36.797738,-0.781589,KANDERENDU DISP,,MARAGUA,KIGUMO,4,MOH
36.851234,-0.781234,KANGARI DISP,330,MARAGUA,KIGUMO,4,MOH
37.01707,-0.86633,KARITI DISP,2709,MARAGUA,KANDARA,4,MOH
36.97549,-0.83194,KARIUA DISP,333,MARAGUA,KANDARA,4,MOH
36.827,-0.748188,KINYONA DISP,343,MARAGUA,KIGUMO,4,MISS
37.18661,-0.89406,MAKUYU HEALTH CENTRE,384,MARAGUA,MAKUYU,3,MOH
37.12663,-0.78693,MARAGUA DISTRICT HOSPITAL (RHTC),395,MARAGUA,MARAGUA,1,MOH
37.2,-0.77,MARAGUA RIDGE HEALTH CENTRE,348,MARAGUA,MARAGUA,3,MOH
37.209983,-0.803599,MARANJAU GK PRISON DISP,361,MARAGUA,MAKUYU,4,MOH
36.9348,-0.79846,MARIRA DISP,350,MARAGUA,KIGUMO,4,MISS
37.0772,-0.84768,MUGUMOINI DISP,358,MARAGUA,MARAGUA,4,MOH
37.05976,-0.92799,MURUKA DISP,3414,MARAGUA,KANDARA,4,MOH
36.951802,-0.817568,MUTHERU DISP,363,MARAGUA,KANDARA,4,MOH
37.0485,-0.810626,MUTHITHI DISP,364,MARAGUA,MARAGUA,4,MISS
37.044121,-0.801467,MUTHITHI DISP,,MARAGUA,MARAGUA,4,MOH
37.0322,-0.93433,NAARO DISP,367,MARAGUA,KANDARA,4,MOH
37.0593,-0.87088,NGURUWENI DISP,368,MARAGUA,KANDARA,4,MOH
37.00208,-0.89808,RUCHU DISP,372,MARAGUA,KANDARA,4,MISS
37.15,-0.87,SABASABA (CATHOLIC ) DISP,3641,MARAGUA,MAKUYU,4,MISS
37.1361,-0.87501,SABASABA SUB HEALTH CENTRE,373,MARAGUA,MARAGUA,3,MOH
36.892918,-0.776771,TATA HANAH DISP,,MARAGUA,KIGUMO,4,MISS
36.8478,-0.61184,GACHARAGENI DISP,305,MURANGA,MATHIOYA,4,MOH
37.0161,-0.627688,GAKURWE DISP,306,MURANGA,KIHARU,4,MOH
36.93,-0.7,GATANGARA DISP,309,MURANGA,KANGEMA,4,MOH
36.86,-0.72,GATARA DISP,352,MURANGA,KANGEMA,4,MOH
36.8923,-0.740291,GATHAITHI DISP,311,MURANGA,KAHURO,4,MOH
,,GATHERA DISP,,MURANGA,KANGEMA,4,MISS
37.0632,-0.728944,GATHERU DISP,312,MURANGA,KAHURO,4,MOH
37.10059,-0.64613,GATURI DISP,313,MURANGA,KIHARU,4,MISS
37.014,-0.676591,GIKUI DISP,316,MURANGA,KANGEMA,4,MOH
37.07393,-0.74295,GITARO DISP,317,MURANGA,KAHURO,4,MOH
37.1018,-0.62973,GITHANGA DISP,4318,MURANGA,KIHARU,4,MISS
37.0255,-0.655967,GITUGI DISP,319,MURANGA,MATHIOYA,4,MOH
36.8387,-0.704469,ICHICHI DISP,322,MURANGA,KANGEMA,4,MOH
37.028378,-0.596847,IRURI DISP,323,MURANGA,MATHIOYA,4,MOH
36.9821,-0.620072,KAGUMOINI DISP,325,MURANGA,MATHIOYA,4,MOH
37.04,-0.71,KAHUHIA ACK DISP,,MURANGA,KAHURO,4,MISS
36.8629,-0.610663,KAIRO DISP,327,MURANGA,MATHIOYA,4,MOH
37.1921,-0.741239,KAMBIRWA DISP,329,MURANGA,KIHARU,4,MOH
36.97065,-0.68709,KANGEMA HEALTH CENTRE,378,MURANGA,KANGEMA,3,MOH
36.9522,-0.619082,KANJAMA DISP,2713,MURANGA,MATHIOYA,4,MOH
36.8829,-0.686016,KANYENYAINI DISP,331,MURANGA,KANGEMA,4,MOH
37.12342,-0.751234,KARAHA DISP,4594,MURANGA,KIHARU,4,MISS
37.0636,-0.697581,KIAMARA DISP,334,MURANGA,KANGEMA,4,MOH
37.118469,-0.760811,KIANGOCHI DISP,335,MURANGA,KIHARU,4,MOH
36.98927,-0.69231,KIANGUNYI MISSION DISP,336,MURANGA,KANGEMA,4,MISS
36.91892,-0.698198,KIBUTHA DISP,337,MURANGA,KANGEMA,4,MOH
37.162341,-0.673212,KIGETUINI DISP,338,MURANGA,KIHARU,4,MOH
36.88874,-0.648649,KIHOYA DISP,340,MURANGA,MATHIOYA,4,MOH
36.97,-0.61,KIHURO ACK DISP,,MURANGA,MATHIOYA,4,MISS
37.0672,-0.767812,KIRIA DISP,344,MURANGA,KAHURO,4,MOH
36.95155,-0.59941,KIRIAINI DISP,345,MURANGA,MATHIOYA,4,MOH
36.9482,-0.597467,KIRIAINI MISS. HOSPITAL,2379,MURANGA,MATHIOYA,1,MISS
37.02947,-0.71178,KIROGO HEALTH CENTRE,381,MURANGA,KAHURO,3,MOH
36.96,-0.66,MIHUTI DISP,,MURANGA,MATHIOYA,4,MISS
37.09145,-0.63969,MUGEKA HEALTH CENTRE,354,MURANGA,KIHARU,3,MOH
37.02561,-0.74839,MUGOIRI  MISSION DISP,356,MURANGA,KAHURO,4,MISS
37.15985,-0.71587,MURANGA DISTRICT HOSPITAL,393,MURANGA,KIHARU,1,MOH
36.8958,-0.718632,MURARANDIA DISP,362,MURANGA,KAHURO,4,MOH
36.97306,-0.74315,MURIRANJAS SUB-DISTRICT HOSP.,394,MURANGA,KAHURO,1,MOH
36.95746,-0.63943,NYAKIANGA DISP,369,MURANGA,MATHIOYA,4,MOH
36.9328,-0.659602,RWATHIA DISP,2712,MURANGA,MATHIOYA,4,MOH
36.831081,-0.6667,TUTHU SUB HEALTH CENTRE,386,MURANGA,KANGEMA,3,MOH
36.98123,-0.591234,WAHUNDURA DISP,3398,MURANGA,MATHIOYA,4,MOH
37.0117,-0.724185,WANJENGI DISP,375,MURANGA,KAHURO,4,MOH
36.84123,-0.651234,WANJERERE DISP,374,MURANGA,MATHIOYA,4,MOH
36.97671,-0.71253,WEITHAGA DISP,3396,MURANGA,KAHURO,4,MISS
36.627174,-0.767321,AIC MUKEU DISP,,NYANDARUA,SOUTH KINANGOP,4,MISS
36.4433,-0.002742,BAARI DISP,166,NYANDARUA,NDARAGWA,4,MOH
36.5714,-0.833952,BAMBOO DISP,3940,NYANDARUA,SOUTH KINANGOP,4,MOH
36.5919,-0.610526,ENGINEER HEALTH CENTRE,398,NYANDARUA,NORTH KINANGOP,3,MOH
36.5604,-0.35786,GETA BUSH DISP,399,NYANDARUA,KIPIPIRI,4,MOH
36.628,-0.486639,GETA FOREST DISP,400,NYANDARUA,NORTH KINANGOP,4,MOH
36.5669,-0.801432,HENI DISP,402,NYANDARUA,SOUTH KINANGOP,4,MOH
36.5467,-0.030709,HOLY FAMILY CATHOLIC DISP,3603,NYANDARUA,NDARAGWA,4,MISS
36.4771,0.039534,KAHEMBE DISP,4506,NYANDARUA,NDARAGWA,4,MOH
36.419674,-0.210357,KAIMBAGA DISP,,NYANDARUA,OL KALOU,4,MOH
36.6182,-0.78127,KARANGATHA HEALTH CENTRE,427,NYANDARUA,SOUTH KINANGOP,3,MOH
36.5649,-0.882732,KENTON GITWE DISP,3281,NYANDARUA,SOUTH KINANGOP,4,MOH
36.569856,-0.421866,KIHINGO CATHOLIC DISP,4542,NYANDARUA,KIPIPIRI,4,MISS
36.4765,-0.186805,KIRIMA DISP,403,NYANDARUA,NDARAGWA,4,MOH
36.421123,-0.092321,LESHAU PONDO HEALTH CENTRE,428,NYANDARUA,OL JORO OROK,3,MOH
36.3269,-0.144529,MAINA & MWANGI HEALTH CENTRE,429,NYANDARUA,OL JORO OROK,3,MOH
36.432321,0.062321,MAINA VILLAGE DISP,3211,NYANDARUA,NDARAGWA,4,MOH
36.4953,-0.35786,MANUNGA DISP,404,NYANDARUA,KIPIPIRI,4,MOH
36.3223,-0.34225,MAWINGU DISP,,NYANDARUA,OL KALOU,4,MOH
36.254,-0.206317,MIRANGINE HEALTH CENTRE,431,NYANDARUA,OL KALOU,3,MOH
36.4882,-0.605662,MURUNGARU DISP,405,NYANDARUA,NORTH KINANGOP,4,MOH
36.6279,-0.565601,MUTARAKWA DISP,406,NYANDARUA,NORTH KINANGOP,4,MOH
36.61817,-0.525748,NANDARASI DISP,,NYANDARUA,NORTH KINANGOP,4,MOH
36.5441,-0.040465,NDARAGWA HEALTH CENTRE,407,NYANDARUA,NDARAGWA,3,MOH
36.4413,-0.338998,NDEMI DISP,408,NYANDARUA,KIPIPIRI,4,MOH
36.332321,-0.312321,NEW MAWINGO DISP,409,NYANDARUA,OL KALOU,4,MOH
36.292321,-0.342321,NEW TUMAINI DISP,,NYANDARUA,OL KALOU,4,MOH
36.2833,-0.095749,NGANO H C,410,NYANDARUA,OL JORO OROK,3,MOH
36.23,-0.313633,NGORIKA DISP,412,NYANDARUA,OL KALOU,4,MOH
36.669,-0.734441,NJABINI CATHOLIC DISP,413,NYANDARUA,SOUTH KINANGOP,4,MISS
36.6657,-0.721433,NJABINI HEALTH CENTRE,432,NYANDARUA,SOUTH KINANGOP,3,MOH
36.5833,-0.5992,NORTH KINANGOP CATHOLIC HOSPITAL,436,NYANDARUA,NORTH KINANGOP,1,MISS
36.359734,0.013654,NYAHURURU CATHOLIC MISSION DISP,397,NYANDARUA,OL JORO OROK,4,MISS
36.3418,0.023274,NYAHURURU DISTRICT HOSPITAL,437,NYANDARUA,OL JORO OROK,1,MOH
36.269,-0.283714,NYS TUMAINI DISP,3361,NYANDARUA,OL KALOU,4,MOH
36.3535,-0.099001,OL JORO OROK CATHOLIC DISP,3634,NYANDARUA,OL JORO OROK,4,MISS
36.3483,-0.046969,OL'BOROSAT DISP,414,NYANDARUA,OL JORO OROK,4,MOH
36.5213,-0.405989,OLD MAWINGO DISP,415,NYANDARUA,KIPIPIRI,4,MOH
36.3735,-0.2707,OL'KALOU DISTRICT HOSPITAL,438,NYANDARUA,OL KALOU,1,MOH
36.32708,-0.219369,PASSENGA CATHOLIC DISP,4546,NYANDARUA,OL KALOU,4,MISS
36.5792,-0.123716,PESI DISP,416,NYANDARUA,NDARAGWA,4,MOH
36.5649,-0.248593,SHAMATA DISP,417,NYANDARUA,NATIONAL PARK,4,MOH
36.2833,-0.043717,SILIBWET DISP,418,NYANDARUA,OL JORO OROK,4,MOH
36.250195,-0.217278,ST MATTHEWS AND SARAH CATHOLIC D,4356,NYANDARUA,OL KALOU,4,MISS
36.239229,-0.303998,ST. MARY'S DISP,,NYANDARUA,OL KALOU,4,MISS
36.4621,-0.0977,SUBUKU DISP,420,NYANDARUA,NDARAGWA,4,MOH
36.2638,-0.271357,TUMAINI DISP,423,NYANDARUA,OL KALOU,4,MOH
36.4426,-0.447615,TURASHA DISP,424,NYANDARUA,KIPIPIRI,4,MOH
36.5779,0.03238,URUKU DISP,425,NYANDARUA,NDARAGWA,4,MOH
36.5122,-0.307129,WANJOHI HEALTH CENTRE,434,NYANDARUA,KIPIPIRI,3,MOH
36.5747,-0.681759,WERU DISP,426,NYANDARUA,SOUTH KINANGOP,4,MOH
37.020721,-0.501352,AGUTHI DISP,440,NYERI,TETU,4,MOH
36.874537,-0.331019,AMBONI DISP,441,NYERI,KIENI WEST,4,MOH
36.781122,-0.221133,BELLEVUE SUB HEALTH CENTRE,442,NYERI,KIENI WEST,4,MOH
37,-0.111224,BURGURET DISP,,NYERI,KIENI EAST,4,MOH
37.173874,-0.440991,CHEHE DISP,444,NYERI,MATHIRA,4,MOH
36.91898,-0.41129,CONSOLATA HOSPITAL MATHARI,496,NYERI,MUNICIPALITY,1,MISS
36.682213,-0.281144,EMBARINGO DISP,3159,NYERI,KIENI WEST,4,MOH
36.7948,-0.307348,ENDARASHA HEALTH CENTRE,509,NYERI,KIENI WEST,3,MOH
37.026577,-0.429054,GACHIKA DISP,3158,NYERI,MUNICIPALITY,4,MOH
37.08,-0.041123,GAKAWA DISP,3364,NYERI,KIENI EAST,4,MOH
37.148198,-0.399909,GATEI DISP,445,NYERI,MATHIRA,4,MOH
37.031124,-0.07432,GATHIURU DISP,446,NYERI,KIENI EAST,4,MOH
36.90123,-0.48214,GATHUTHI DISP,3809,NYERI,TETU,4,MISS
36.9919,-0.457437,GATITU DISP,447,NYERI,TETU,4,MOH
37.16667,-0.43333,GATONDO DISP,4578,NYERI,MATHIRA,4,MOH
36.975528,-0.532145,GIATHENGE DISP,3561,NYERI,OTHAYA,4,MOH
36.92429,-0.57562,GICHICHI SUB HEALTH CENTRE,489,NYERI,OTHAYA,3,MOH
37.019369,-0.471847,GICHIRA HEALTH CENTRE,449,NYERI,TETU,3,MOH
37.03231,-0.57123,GIKONDI DISP,490,NYERI,MUKURWE-INI,4,MISS
36.8629,-0.517025,GITUGI DISP,450,NYERI,OTHAYA,4,MOH
37.13234,-0.39132,GITUNDUTI CATHOLIC DISP,4371,NYERI,MATHIRA,4,MISS
37.125226,-0.619394,GUMBA DISP,451,NYERI,MUKURWE-INI,4,MOH
37.08784,-0.354505,HOMBE DISP,452,NYERI,MATHIRA,4,MOH
37.12657,-0.47851,HOMEBASED DISP,,NYERI,MATHIRA,4,MOH
37.07877,-0.54258,ICHAMARA DISP,453,NYERI,MUKURWE-INI,4,MOH
36.883322,-0.554411,IHURIRIO DISP,454,NYERI,OTHAYA,4,MOH
36.8907,-0.412186,IHURURU DISP,455,NYERI,TETU,4,MOH
37.061123,-0.21134,ISLAND FARM DISP,456,NYERI,KIENI EAST,4,MOH
37.107207,-0.40991,ITIATI DISP,3145,NYERI,MATHIRA,4,MOH
37.18378,-0.406532,ITUNDU DISP,3154,NYERI,MATHIRA,4,MOH
36.8239,-0.402778,KABAGE DISP,457,NYERI,TETU,4,MOH
36.9261,-0.516129,KAGERE DISP,3151,NYERI,OTHAYA,4,MOH
36.902253,-0.600901,KAGICHA DISP,4575,NYERI,OTHAYA,4,MOH
37.06232,-0.52123,KAHETI DISP,503,NYERI,MUKURWE-INI,4,MISS
